"Literal",Code
"duiven",http://cedar.example.org/ns#ac-11028
"duivendijke",http://cedar.example.org/ns#ac-10335
"duizel en steensel",http://cedar.example.org/ns#ac-11005
"durgerdam",http://cedar.example.org/ns#ac-10947
"dussen",http://cedar.example.org/ns#ac-10261
"dussen, munster en muilkerk",http://cedar.example.org/ns#ac-10261
"dwingeloo",http://cedar.example.org/ns#ac-10331
"echt",http://cedar.example.org/ns#ac-10941
"echt-susteren",http://cedar.example.org/ns#ac-10941
"echteld",http://cedar.example.org/ns#ac-10832
"edam",http://cedar.example.org/ns#ac-10884
"edam-volendam",http://cedar.example.org/ns#ac-10884
"ede",http://cedar.example.org/ns#ac-10743
"ee",http://cedar.example.org/ns#ac-11156
"eede",http://cedar.example.org/ns#ac-11128
"eelde",http://cedar.example.org/ns#ac-10622
"eemnes",http://cedar.example.org/ns#ac-10248
"eemsmond",http://cedar.example.org/ns#ac-10246
"eenrum",http://cedar.example.org/ns#ac-10904
"eersel",http://cedar.example.org/ns#ac-10741
"eethen",http://cedar.example.org/ns#ac-10010
"eethen, genderen en heesbeen",http://cedar.example.org/ns#ac-10010
"egmond",http://cedar.example.org/ns#ac-10421
"egmond aan zee",http://cedar.example.org/ns#ac-10421
"egmond-binnen",http://cedar.example.org/ns#ac-10989
"eibergen",http://cedar.example.org/ns#ac-10436
"eijgelshoven",http://cedar.example.org/ns#ac-10960
"eijsden",http://cedar.example.org/ns#ac-10314
"eindhoven",http://cedar.example.org/ns#ac-11298
"elburg",http://cedar.example.org/ns#ac-11113
"elden",http://cedar.example.org/ns#ac-11082
"elkerzee",http://cedar.example.org/ns#ac-10184
"ellemeet",http://cedar.example.org/ns#ac-10102
"ellewoutsdijk",http://cedar.example.org/ns#ac-11300
"elsloo",http://cedar.example.org/ns#ac-11187
"elst",http://cedar.example.org/ns#ac-11188
"elten",http://cedar.example.org/ns#ac-10161
"emmen",http://cedar.example.org/ns#ac-11180
"emmikhoven",http://cedar.example.org/ns#ac-10621
"empel en meerwijk",http://cedar.example.org/ns#ac-10295
"engelen",http://cedar.example.org/ns#ac-10322
"enkhuizen",http://cedar.example.org/ns#ac-10729
"enschede",http://cedar.example.org/ns#ac-10364
"epe",http://cedar.example.org/ns#ac-10940
"ermelo",http://cedar.example.org/ns#ac-10732
"erp",http://cedar.example.org/ns#ac-10385
"esch",http://cedar.example.org/ns#ac-10709
"escharen",http://cedar.example.org/ns#ac-10299
"est en opijnen",http://cedar.example.org/ns#ac-11092
"etersheim",http://cedar.example.org/ns#ac-11158
"etten",http://cedar.example.org/ns#ac-10107
"etten en leur",http://cedar.example.org/ns#ac-10750
"etten-leur",http://cedar.example.org/ns#ac-10750
"everdingen",http://cedar.example.org/ns#ac-10638
"eversdijk",http://cedar.example.org/ns#ac-10920
"ewijk",http://cedar.example.org/ns#ac-10471
"ezinge",http://cedar.example.org/ns#ac-10136
"ferwerd",http://cedar.example.org/ns#ac-11345
"ferwerderadeel",http://cedar.example.org/ns#ac-11284
"ferwerderadiel",http://cedar.example.org/ns#ac-11284
"fijnaart en heijningen",http://cedar.example.org/ns#ac-10206
"finsterwolde",http://cedar.example.org/ns#ac-10212
"fort bath",http://cedar.example.org/ns#ac-11114
"franeker",http://cedar.example.org/ns#ac-11226
"franekeradeel",http://cedar.example.org/ns#ac-10404
"gaasterland",http://cedar.example.org/ns#ac-10036
"gaasterlân-sleat",http://cedar.example.org/ns#ac-10036
"gameren",http://cedar.example.org/ns#ac-10037
"gapinge",http://cedar.example.org/ns#ac-10306
"garderen",http://cedar.example.org/ns#ac-10717
"gassel",http://cedar.example.org/ns#ac-10705
"gasselte",http://cedar.example.org/ns#ac-11099
"gastel",http://cedar.example.org/ns#ac-11448
"geertruidenberg",http://cedar.example.org/ns#ac-10101
"geervliet",http://cedar.example.org/ns#ac-10842
"geesteren",http://cedar.example.org/ns#ac-10756
"geffen",http://cedar.example.org/ns#ac-10370
"geldermalsen",http://cedar.example.org/ns#ac-10881
"geldrop",http://cedar.example.org/ns#ac-10529
"geldrop-mierlo",http://cedar.example.org/ns#ac-10529
"geleen",http://cedar.example.org/ns#ac-10048
"gemert",http://cedar.example.org/ns#ac-10277
"gemert-bakel",http://cedar.example.org/ns#ac-10277
"genderen",http://cedar.example.org/ns#ac-11276
"gendringen",http://cedar.example.org/ns#ac-10260
"gendt",http://cedar.example.org/ns#ac-10440
"genemuiden",http://cedar.example.org/ns#ac-10746
"gennep",http://cedar.example.org/ns#ac-10542
"gerverskop",http://cedar.example.org/ns#ac-11336
"gestel en blaarthem",http://cedar.example.org/ns#ac-11269
"geulle",http://cedar.example.org/ns#ac-10530
"giessen",http://cedar.example.org/ns#ac-10193
"giessen-nieuwkerk",http://cedar.example.org/ns#ac-10255
"giessenburg",http://cedar.example.org/ns#ac-10255
"giessendam",http://cedar.example.org/ns#ac-10606
"giessenlanden",http://cedar.example.org/ns#ac-10255
"gieten",http://cedar.example.org/ns#ac-10506
"giethoorn",http://cedar.example.org/ns#ac-10708
"gilze en rijen",http://cedar.example.org/ns#ac-11375
"ginneken en bavel",http://cedar.example.org/ns#ac-10406
"goedereede",http://cedar.example.org/ns#ac-10981
"goes",http://cedar.example.org/ns#ac-10674
"goidschalxoord",http://cedar.example.org/ns#ac-10123
"goirle",http://cedar.example.org/ns#ac-10971
"goor",http://cedar.example.org/ns#ac-10076
"gorinchem",http://cedar.example.org/ns#ac-10942
"gorredijk",http://cedar.example.org/ns#ac-10861
"gorssel",http://cedar.example.org/ns#ac-10085
